document_id,title
90592e91a942930-90992494d92a93e926928-938947-932947902-90592793f915-92e94192893e92b93e,अमचूर उत्पादन और अधिक मुनाफा
अमचूर-उत्पादन-से-लें-अधिक-मुनाफा,अमचूर उत्पादन से लें अधिक मुनाफा
अमरुद-एवं-लीची,अमरुद एवं लीची
अमरुद-की-खेती,अमरुद की खेती
अमरुद-की-वैज्ञानिक-खेती,अमरुद की वैज्ञानिक खेती
90592e930941926-915940-938918928-92c93e91793593e928940-92c93f91c92894c930-91c93f93293e,अमरुद की सघन बागवानी-बिजनौर जिला
अमरुदआंवला-और-केला,"अमरुद,आंवला और केला"
अमरूद-एवं-आंवला-की-खेती,अमरूद एवं आंवला की खेती
अमरूद-की-खेती,अमरूद की खेती
अमरूद-के-साथ-पपीते-की-फसल,अमरूद के साथ पपीते की फसल
अमरूद-में-जड़गांठ-सूत्रकृमि-की-रोकथाम,अमरूद में जड़गांठ सूत्रकृमि की रोकथाम
90592e943924-92a93e928940,अमृत पानी
90592e94d93294092f-92d94292e93f-91593e-92a94d93092c92894d927928,अम्लीय भूमि का प्रबन्धन
90592e94d93294092f-92e94392693e-92e947902-91a94292893e-92193e93294b92e93e90891f-91593e-92a94d93092f9,अम्लीय मृदा में चूना/डालोमाईट का प्रयोग एवं प्रबन्धन
905930902921-915940-90992894d928924-90992494d92a93e926928-924915928940915,अरंड की उन्नत उत्पादन तकनीक
अरण्डी-रेशम-का-उत्पादन,अरण्डी रेशम का उत्पादन
अरहर,अरहर
905930939930-915940-90992894d928924936940932-916947924940,अरहर की उन्नतशील खेती
अरहर-की-खेती-ने-श्री-त्रिपुरारी-सिंह-के-मन-को-हर-लिया,अरहर की खेती ने श्री त्रिपुरारी सिंह के मन को हर लिया
अरहर-की-खेती-बना-गिरिडीह-के-किसान-के-प्रगति-का-राज,अरहर की खेती बना गिरिडीह के किसान के प्रगति का राज
905930939930-915940-92b938932-92e947902-91a93f92494d92494092693e930-92b932940-91b947926915-91593e-93,अरहर की फसल में चित्तीदार फली छेदक का समेकित नाशीजीव प्रबंधन
905930939930-92e947902-92c93e90191d92a928-92e94b91c93e907915-93094b917-90f935902-90793891593e-92a94d,अरहर में बाँझपन मोजाइक रोग एवं इसका प्रबंधन
905930939930-92e947902-92c947-92a94892e93e928947-92a930-92c939941-93894d92593e92894092f-90690892a940,अरहर में बड़े पैमाने पर बहु स्थानीय आईपीएम प्रदर्शन की सफलता की कहानी
905930939930-92e947902-932917928947-93593e932947-92b938932-915947-91594091f94b902-914930-92a93e92692,अरहर में लगने वाले फसल के कीटों और पादप रोगों की जानकारी
अरहर_-मूंग-एवं-उड़द-की-बुआई-और-देखभाल,"अरहर, मूंग एवं उड़द की बुआई और देखभाल"
अरहर_-मूंग-और-उड़द,"अरहर, मूंग और उड़द"
अरहर-मूंग-उड़द-और-राजमा,"अरहर, मूंग, उड़द और राजमा"
अर्का-किरण-अमरूद-एफ-1-हाइब्रिड-की-खेती-ने-खोली-सफलता-की-नई-राह,अर्का किरण अमरूद एफ 1 हाइब्रिड की खेती ने खोली सफलता की नई राह
अर्द्धशुष्क-क्षेत्रों-में-बाग-की-स्थापना,अर्द्धशुष्क क्षेत्रों में बाग की स्थापना
अलसी,अलसी
905932938940-91593e-92a94b93294d91f94d930940-90992494d92a93e92694b902-92e947902-91392e94791793e-3-92,अलसी का पोल्ट्री उत्पादों में ओमेगा-3 बढ़ाने हेतु उपयोग
अलसी-का-पौष्टिक-महत्व-एवं-वैज्ञानिक-खेती,अलसी का पौष्टिक महत्व एवं वैज्ञानिक खेती
अश्वगंधा,अश्वगंधा
अश्वगंधा-की-उन्नत-खेती,अश्वगंधा की उन्नत खेती
अश्वगंधा_-सतावर-एवं-सर्पगंधा-के-औषधीय-गुण_-आर्थिक-महत्व-एवं-खेती,"अश्वगंधा, सतावर एवं सर्पगंधा के औषधीय गुण, आर्थिक महत्व एवं खेती"
अश्वगंधा-झारखंड-के-संदर्भ-में,अश्वगंधा-झारखंड के संदर्भ में
93893f90291a93f924-90f935902-90593893f90291a93f924-90592a93294792894d921-92793e928,असिंचित अपलेन्ड एवं लोलेन्ड धान
अज़ोला-चारा-_-जानकारी-एवं-अक्सर-पूछे-जाने-वाले-प्रश्न,अज़ोला चारा – जानकारी एवं अक्सर पूछे जाने वाले प्रश्न
आँवला-की-वैज्ञानिक-खेती,आँवला की वैज्ञानिक खेती
90690193593293e-915940-93892b932-916947924940,आँवला की सफल खेती
90690293593293e,आंवला
आंवला-की-खेती,आंवला की खेती
आंवला-कैंडी-का-बढ़ता-व्यवसायिक-महत्व,आंवला कैंडी का बढ़ता व्यवसायिक महत्व
आंवले-की-वैज्ञानिक-खेती-एवं-उपयोग,आंवले की वैज्ञानिक खेती एवं उपयोग
90690891f940-90692793e93093f924-92c93e91c93e930-93894291a92893e-92a94d93092393e932940,आईटी - आधारित बाजार सूचना प्रणाली
93894291a92893e-90f935902-93890291a93e930-92a94d93094c92694d92f94b91793f915940-915947-92e93e92794d92,आईटी के माध्यम से कृषि विस्तार एवं प्रयोगशाला परीक्षण
आकर्षण-का-केन्द्र-बनी-अनूठी-नर्सरी,आकर्षण का केन्द्र बनी अनूठी नर्सरी
आकांक्षी-जिलों-का-परिवर्तन-कृषि-संकेतक,आकांक्षी जिलों का परिवर्तन-कृषि संकेतक
आजीविका-का-साधन-है-रायण,आजीविका का साधन है रायण
आडू-या-सतालू-की-खेती,आडू या सतालू की खेती
आदर्श-पोषण-वाटिका,आदर्श पोषण वाटिका
90692693f93593e938940-91593f93893e92894b902-915947-93293f90f-91594393793f-93593e92893f915940-92a94d9,आदिवासी किसानों के लिए कृषि वानिकी प्रणाली
आधुनिक-कृषि-यंत्र,आधुनिक कृषि यंत्र
आधुनिक-तकनीक-से-सब्जी-पौध-उत्पादन,आधुनिक तकनीक से सब्जी पौध उत्पादन
90692794192893f915-92e92494d93894d92f-92a93e932928-938947-93892e94d92a92894d92892493e,आधुनिक मत्स्य पालन से सम्पन्नता
आम,आम
आम-एवं-अंगूर,आम एवं अंगूर
आम-एवं-नींबू-के-बागानों-में-एकीकृत-खरपतवार-प्रबंधन,आम एवं नींबू के बागानों में एकीकृत खरपतवार प्रबंधन
आम-एवं-लीची-के-बागों-का-जीर्णोधार,आम एवं लीची के बागों का जीर्णोधार
आम-एवं-लीची-के-बागों-में-अन्तर्वर्ती-फसलें,आम एवं लीची के बागों में अन्तर्वर्ती फसलें
आम-की-आधुनिक-बागवानी,आम की आधुनिक बागवानी
90692e-915940-916947924940,आम की खेती
आम-की-खेती-की-तकनीकी-अपेक्षाएं,आम की खेती की तकनीकी अपेक्षाएं
आम-की-वैज्ञानिक-खेती,आम की वैज्ञानिक खेती
आम-की-संकर-किस्मों-की-लाभकारी-बागवानी,आम की संकर किस्मों की लाभकारी बागवानी
आम-की-सघन-बागवानी,आम की सघन बागवानी
90692e-915940-93894193091594d93793e-915947-93293f90f-93593f91593893f924-201891f94d93094892a2019,आम की सुरक्षा के लिए विकसित ‘ट्रैप’
आम-की-_सदाबहार_-किस्म,आम की ‘सदाबहार' किस्म
आम-के-प्रमुख-कीटों-का-एकीकृत-प्रबंधन,आम के प्रमुख कीटों का एकीकृत प्रबंधन
आम-के-प्रमुख-कीटों-का-प्रबंधन,आम के प्रमुख कीटों का प्रबंधन
आम-के-बागों-का-जीर्णोद्धार-null-1,आम के बागों का जीर्णोद्धार
90692e-915947-93094b91794b902-915940-93094b91592593e92e-93890292c902927940-91c93e92891593e930940,आम के रोगों की रोकथाम संबंधी जानकारी
90692e-92c93e91793e92894b902-92e947902-91a93e93093e-90992494d92a93e926928,आम बागानों में चारा उत्पादन
आम-में-फल-झड़ने-की-समस्या-एवं-प्रबंधन,आम में फल झड़ने की समस्या एवं प्रबंधन
90692e-92e947902-93892e94791593f924-92893e93694091c940935-92a94d93092c902927928-2013-90f915-93892b93,आम में समेकित नाशीजीव प्रबंधन – एक सफल कहानी
आम_-केले-और-पपीते-का-एक-समान-पकना,"आम, केले और पपीते का एक समान पकना"
90692f-90593094d91c928-91593e-93894d93094b924-939948-91594192e91f,आय अर्जन का स्रोत है कुमट
90692f-92c93e928947-92e947902-90992a92f94b917940-92a94d92f93e91c-90f935902-932939938941928-915940-92,आय बढ़ाने में उपयोगी प्याज एवं लहसुन की नई प्रौद्योगिकियां
आय-में-बढ़ोतरी-के-लिए-काठिया-गेहूँ-_किस्म-एच-आई-8717_-का-लोकप्रियकरण,आय में बढ़ोतरी के लिए काठिया गेहूँ (किस्म एच आई-8717) का लोकप्रियकरण
90693094d91593f921,आर्किड
आलू-उत्पादन-की-तकनीकी,आलू उत्पादन की तकनीकी
आलू-एवं-टमाटर,आलू एवं टमाटर
आलू-एवं-प्याज-की-फसल,आलू एवं प्याज की फसल
आलू-का-घातक-झुलसा-रोग,आलू का घातक झुलसा रोग
आलू-की-अगेती-फसल-का-प्रबंधन,आलू की अगेती फसल का प्रबंधन
आलू-की-उन्नत-किस्में,आलू की उन्नत किस्में
906932942-915940-916947924940-93894193294d92493e92892a941930-915947-93890292693094d92d-92e947902,आलू की खेती-सीतापुर के संदर्भ में
906932942-915940-91c94893593f915-916947924940-938947-93890292c90292793f924-91594393793f-91594d93093f,आलू की जैविक खेती से संबंधित कृषि क्रियाएं
आलू-की-देखभाल,आलू की देखभाल
आलू-की-नई-विकसित-किस्में,आलू की नई विकसित किस्में
आलू-की-फसल,आलू की फसल
906932942-915940-92b938932-92e947902-91693092a92493593e930-92a94d93092c902927928,आलू की फसल में खरपतवार प्रबंधन
आलू-की-वैज्ञानिक-खेती,आलू की वैज्ञानिक खेती
906932942-915947-91b93f932915947-938947-91693e92694d92f-930947936947-91593e-92893f93794d91593094d937,आलू के छिलके से खाद्य रेशे का निष्कर्षण और उपयोग
आलू-के-झुलसा-रोगों-का-प्रबंधन,आलू के झुलसा रोगों का प्रबंधन
आलू-फसल-की-सस्य-क्रियाएं,आलू फसल की सस्य क्रियाएं
आलू-भंडारण-की-विभिन्न-विधियां,आलू भंडारण की विभिन्न विधियां
आलू-से-बिजली-पैदा-करने-की-तैयारी,आलू से बिजली पैदा करने की तैयारी
आलू-भिंडी-एवं-टमाटर,"आलू, भिंडी एवं टमाटर"
आलू-मूलीआंवला-एवं-अन्य-सब्जियां,"आलू, मूली,आंवला एवं अन्य सब्जियां"
आलूवर्गीय-सब्जियों-के-जीवाणुजनित-उकठा-रोग,आलूवर्गीय सब्जियों के जीवाणुजनित उकठा रोग
आवश्यक-कच्चा-माल-और-मशीनरी,आवश्यक कच्चा माल और मशीनरी
आवश्यक-पोषक-तत्वों-की-मृदा-एवं-पादप-वृद्धि-में-उपयोगिता-महत्व-तथा-उनकी-कमी-के-लक्षण,"आवश्यक पोषक तत्वों की मृदा एवं पादप वृद्धि में उपयोगिता, महत्व तथा उनकी कमी के लक्षण"
90693593e938-93594d92f93593894d92593e,आवास व्यवस्था
90693993e930-915947-92492494d935-90f935902-93593f93694793792493e90f902,आहार के तत्व एवं विशेषताएं
90693993e930-93594d92f93593894d92593e,आहार व्यवस्था
इंफाल-में-तोरिया-सरसों-की-उपज-में-वृद्धि,इंफाल में तोरिया सरसों की उपज में वृद्धि
इसबगोल,इसबगोल
908-92a93694193993e91f-92a94b93094d91f932,ई-पशुहाट पोर्टल
90893892c91794b932-92e92794d92f92a94d930926947936-915947-93890292693094d92d-92e947902,ईसबगोल-मध्यप्रदेश के संदर्भ में
उकठा-राेग,उकठा राेग
90991a94d91a-90992494d92a93e92691592493e-915947-93293f92f947-92e92794192e91594d91693f92f94b902-91594,उच्च उत्पादकता के लिये मधुमक्खियों की कॉलोनियों का प्रबंध
उच्च-चीनी-परता-के-लिए-गन्ने-का-रखरखाव,उच्च चीनी परता के लिए गन्ने का रखरखाव
उत्तक-संवर्धित-केला-की-वैज्ञानिक-खेती,उत्तक संवर्धित केला की वैज्ञानिक खेती
90992494d92492e-91590292a94b93894d91f-939947924941-91c93e92a93e928940-93593f92793f,उत्तम कंपोस्ट हेतु जापानी विधि
उत्तम-सेहत-के-लिए-कंटोला-की-खेती,उत्तम सेहत के लिए कंटोला की खेती
उत्तम-स्वास्थ्य-एवं-पोषण-का-आधार-है-गृह-वाटिका,उत्तम स्वास्थ्य एवं पोषण का आधार है गृह वाटिका
90992494d924930-92a94d930926947936-91594393793f-92894092493f-968966967969,"उत्तर प्रदेश कृषि नीति, 2013"
उत्तर-प्रदेश-में-गन्ने-की-वैज्ञानिक-खेती,उत्तर प्रदेश में गन्ने की वैज्ञानिक खेती
90992494d924930-92a94d930926947936-92e947902-92e93693094192e-915940-90992894d928924936940932-9169479,उत्तर प्रदेश में मशरुम की उन्नतशील खेती
उत्तर-पूर्व-भारत-के-लिए-प्रौद्योगिकी,उत्तर-पूर्व भारत के लिए प्रौद्योगिकी
उत्तरप्रदेश-राज्य-में-मछली-पालन-से-जुड़ी-प्रश्नोत्तरी,उत्तरप्रदेश राज्य में मछली पालन से जुड़ी प्रश्नोत्तरी
उत्पादकता-एवं-गुणवत्ता-बढ़ाने-में-प्लास्टिकल्चर-का-योगदान,उत्पादकता एवं गुणवत्ता बढ़ाने में प्लास्टिकल्चर का योगदान
90992494d92a93e926928-924915928940915,उत्पादन तकनीक
90992494d92a93e926928-92a94d93094c92694d92f94b91793f91593f92f93e901-91593e91c942,उत्पादन प्रौद्योगिकियाँ - काजू
90992494d92a93e926928-92a94d93094c92694d92f94b91793f915940,उत्पादन प्रौद्योगिकी
90992494d92a93e926928-92c93e928947-90f935902-92893894d932-93894192793e930-92e947902-92d94d930942923-,उत्पादन बढ़ाने एवं नस्ल सुधार में भ्रूण हस्तांतरण प्रौद्योगिकी अत्यंदत कारगर
उद्यान-आधारित-फसलो-में-समेकित-कीट-प्रबन्धन,उद्यान आधारित फसलो में समेकित कीट प्रबन्धन
उद्यानिक-फसलों-में-पलवार-से-लाभ,उद्यानिक फसलों में पलवार से लाभ
90992694d92f93e92893f915940-90f935902-91693e92694d92f-92a94d93093890293894d915930923-93593f92d93e917,उद्यानिकी एवं खाद्य प्रसंस्करण विभाग
90992694d92f93e92893f915940-90f935902-92a94d93091594d93794792494d930-93593e92893f915940-93593f92d93e,उद्यानिकी एवं प्रक्षेत्र वानिकी विभाग की योजनाएं
92c93e91793593e928940-92b93893294b902-92e947902-91592e-93593094d93793e-915940-92a93093f93894d92593f9,उद्यानी फसलों में कम वर्षा की परिस्थिति में प्रबंधन
90992894d928924-91594393793f-92c939941924-939940-90992a92f94b917940-939948902-93894291594d93794d92e9,उन्नत कृषि- बहुत ही उपयोगी हैं सूक्ष्मजीव
उन्नत-तकनीकी-से-अरहर-की-खेती_-लाभ-का-जरिया,उन्नत तकनीकी से अरहर की खेती: लाभ का जरिया
उन्नत-तकनीकों-से-बढ़ा-सकते-हैं-गेहूं-उत्पादन,उन्नत तकनीकों से बढ़ा सकते हैं गेहूं उत्पादन
90992894d928924-92c94091c,उन्नत बीज
उन्नतशील-फार्म-कार्य-संयंत्र-एवं-उपकरण,उन्नतशील फार्म कार्य संयंत्र एवं उपकरण
90992a-938924939940-92494c93293f92f93e-92a925930940932940-92d94292e93f-92a930-93892b932-92c93e917935,उप-सतही तौलिया: पथरीली भूमि पर सफल बागवानी के लिए सिंचाई की कारगर तकनीक
90992a93093593e930-92d94292e93f-915947-93293f90f-92c93e91793593e928940-915940-92c93994193894d9249309,उपरवार भूमि के लिए बागवानी की बहुस्तरीय फसल प्रणाली
उरद-की-खेती-ने-दिलाई-विशेष-पहचान,उरद की खेती ने दिलाई विशेष पहचान
उर्द,उर्द
उर्द-926932939928-2,उर्द
90993094d926-915940-916947924940-90992894d92893e935-915947-93890292693094d92d-92e947902,उर्द की खेती-उन्नाव के संदर्भ में
90993094d935930915-915947-93293f90f-91794b92c930-914930-92e94292494d928-91c94893593f915-915940-91694,उर्वरक के लिए गोबर और मूत्र जैविक की खेती कर पायें सफलता
उर्वरक-प्रयोग-में-नीम-लेपित-यूरिया-का-उपयोग,उर्वरक प्रयोग में नीम लेपित यूरिया का उपयोग
90993094d935930915-93893f90291a93e908-90f935902-91594091f-92a94d93092c902927928,"उर्वरक,सिंचाई एवं कीट प्रबंधन"
909926-92e942902917-935-93894b92f93e92c940928,"उड़द,मूंग,सोयाबीन व अरहर"
90a90291f928940-91593e-926942927-90592c-92e93e928935-90693993e930-915947-93293f90f-93293e92d92693e92,ऊंटनी का दूध अब मानव आहार के लिए लाभदायक
ऊसर-सुधार,ऊसर सुधार
ऋषिवत-किसान-उत्पादक-कंपनी_-लघु-और-सीमांत-किसानों-का-सशक्तिकरण,ऋषिवत किसान उत्पादक कंपनी: लघु और सीमांत किसानों का सशक्तिकरण
90f915-91793e902935-92e947902-90f915-91593f93893e928-91594d200d93292c,एक गांव में एक किसान क्लब
90f915-92a93094793693e928-92a93e93090292a93093f915-91593f93893e928-90f915-91593e93094d92c92893f915-9,एक परेशान पारंपरिक किसान एक कार्बनिक किसान में बदल गया
90f915-92e93993f93293e-928947-92c926932-92693f92f93e-91793e902935-92c928940-91794d930940928-93294792,"एक महिला ने बदल दिया गांव, बनी ग्रीन लेडी"
90f915-93994791594d91f94792f930-92d94292e93f-92e947902-90692e-915940-916947924940-915947-93293f90f-9,एक हेक्टेयर भूमि के लिए नमूना प्रोफाइल
90f915-93994791594d91f94792f930-92e947902-92e91b93294092a93e932928-915930-91592e93e-930939947-91a93e,एक हेक्टेयर में मछलीपालन कर कमा रहे चार लाख
90f915940915943924-91594393793f,एकीकृत कृषि
एकीकृत-कृषि,एकीकृत कृषि
एकीकृत-कृषि-प्रणाली-से-खाद्य-और-आजीविका-सुरक्षा,एकीकृत कृषि प्रणाली से खाद्य और आजीविका सुरक्षा
90f915940915943924-91a93e935932-91a93f90291791f-92a916-92e91b932940-92694d93593e93093e-92a93090292a9,एकीकृत चावल-चिंगट-पख मछली द्वारा परंपरागत पोक्काली चावल खेती का पुनर्नवीकरण
90f915940915943924-92c93e91793593e928940-93593f91593e938-92e93f936928-92694393794d91f93f91594b923,एकीकृत बागवानी विकास मिशन
एकीकृत-मछली-सह-मुर्गीपालन,एकीकृत मछली सह मुर्गीपालन
एकीकृत-मछली-सह-बतख-पालन,एकीकृत मछली-सह-बतख पालन
एकीकृत-मत्स्य-पालन,एकीकृत मत्स्य पालन
एक्वेरियम-में-गोल्ड-फिश-की-रंग-बिरंगी-प्रजातियां,एक्वेरियम में गोल्ड फिश की रंग-बिरंगी प्रजातियां
एजोला-मवेशियों-के-भोजन-के-रूप-में,एजोला-मवेशियों के भोजन के रूप में
एनआईएफ-की-पॉली-हर्बल-चिकित्सा-का-उपयोग-करके-डेयरी-पशुओं-के-बीच-किलनी-_टिक_-संक्रमण-के-पर्यावरण-अनुकू,एनआईएफ की पॉली हर्बल चिकित्सा का उपयोग करके डेयरी पशुओं के बीच किलनी (टिक) संक्रमण के पर्यावरण-अनुकूल नियंत्रण
एनआरसीएल-ट्राईकोडर्मा-एक-उत्कृष्ट-कवकनाशी-एवं-जैव-उर्वरक-लीची-की-खेती-1,एनआरसीएल ट्राईकोडर्मा एक उत्कृष्ट कवकनाशी एवं जैव उर्वरक
एनआरसीएल-ट्राईकोडर्मा-एक-उत्कृष्ट-कवकनाशी-एवं-जैव-उर्वरक,एनआरसीएल ट्राईकोडर्मा एक उत्कृष्ट कवकनाशी एवं जैव उर्वरक
90f92894d92594193093f92f92e,एन्थुरियम
एमू-पालन,एमू पालन
90f93093294d93894d91f94d93094b92e94793093f92f93e,एरल्स्ट्रोमेरिया
90f93294b92c94793093e-915940-916947924940-915930-90593694b915-928947-92c92893e92f940-905932917-92a93,एलोवेरा की खेती कर अशोक ने बनायी अलग पहचान
90f93693f92f928-93894092c93e938-92c93e93093e92e941902921940-93294791f94d938-91593291593094092b930-91,एशियन सीबास/बारामुंडी (लेट्स कलकरीफर) के बीजों और फिंगरलिंगों के आयात संबंधी दिशानिर्देश
sustainable-agriculture,एस.आर.आई (श्री)
90f938-906930-906908-924915928940915-938947-93094b92a928940-92793e928-915940-916947924940,एस.आर.आई. तकनीक से रोपनी धान की खेती
एसपीएफ-श्रिम्प-बूडस्टॉक-गुणन-केंद्रों-की-स्थापना-और-संचालन-को-विनियमित-करने-से-संबंधित-दिशानिर्देश-n,एसपीएफ श्रिम्प बूडस्टॉक गुणन केंद्रों की स्थापना और संचालन को विनियमित करने से संबंधित दिशानिर्देश
